BPM,KEY,METER,VOCAL GENDER,VOCAL PRESENCE,main_genres,sub_genres,FREE GENRES,simple_moods,moods,character ,MOVEMENT ,VALENCE,AROUSAL,ENERGY LEVEL,EMOTIONAL PROFILE,ENERGY DYNAMICS,EMOTIONAL DYNAMICS,INSTRUMENTS ,INSTRUMENTS PRESENCE,BRAND VALUES ,AUGMENTED KEYWORDS,"AUTO-DESCRIPTION
*(needs to be booked separately)",MUSICAL ERA,"LYRIC TAGS
*(needs to be booked separately)","LYRIC EXPLICITNESS
*(needs to be booked separately)",LYRIC AI TRANSCRIPT,VOICE OVER,"MOST SIGNIFICANT PART
(The most striking part of the song)"
,,,,,,,Albanian Hip Hop,,Nightmarish,,,,,,,,,,,Contented,Aspirational,,,,,,,
,,,,,,,Albanian Pop,,Noble,,,,,,,,,,,Convincing,Assertive,,,,,,,
,,,,,,,Albany Ny Indie,,Nostalgic,,,,,,,,,,,Cool,Athletic,,,,,,,
,,,,,,,Alberta Country,,Ominous / Terrifying,,,,,,,,,,,Courageous,Athmospheric,,,,,,,
,,,,,,,Alberta Hip Hop,,Optimistic,,,,,,,,,,,Crazy,Atmospheric,,,,,,,
,,,,,,,Album Rock,,Panic Stricken,,,,,,,,,,,Creative,Atrocity,,,,,,,
,,,,,,,Albuquerque Indie,,Passionate,,,,,,,,,,,Crunchy,Attack,,,,,,,
,,,,,,,Algerian Folk,,Peaceful,,,,,,,,,,,Curious,Attitude,,,,,,,
,,,,,,,Alpine Yodeling,,Perky,,,,,,,,,,,Cute,Auspicious,,,,,,,
,,,,,,,Alt Z,,Playful,,,,,,,,,,,Dark,Authentic,,,,,,,
,,,,,,,Alt-Idol,,Poignant,,,,,,,,,,,Decisive,Authentic Indigenous,,,,,,,
,,,,,,,Alte,,Ponderous,,,,,,,,,,,Deep,Automotive,,,,,,,
,,,,,,,Alternative Americana,,Positive,,,,,,,,,,,Delight,Avant Garde,,,,,,,
,,,,,,,Alternative Ccm,,Powerful,,,,,,,,,,,Desolate,Awards Ceremony,,,,,,,
,,,,,,,Alternative Country,,Prestigious,,,,,,,,,,,Destiny,Awards Show,,,,,,,
,,,,,,,Alternative Dance,,Proud / Patriotic,,,,,,,,,,,Destruction,Awe Inspiring,,,,,,,
,,,,,,,Alternative Emo,,Quiet,,,,,,,,,,,Determined,Ayurveda,,,,,,,
,,,,,,,Alternative Hip Hop,,Quirky,,,,,,,,,,,Developing,B Movie,,,,,,,
